rencana_id;product_code;stok;kebutuhan;created_at;updated_at
1;706-TSP;0;0;01/07/2023;01/07/2023
1;706-PPK-1;0;150;01/07/2023;01/07/2023
1;706-BTT-3;0;0;01/07/2023;01/07/2023
1;706-BTT-4;0;0;01/07/2023;01/07/2023
1;706-BJG-2;0;0;01/07/2023;01/07/2023
1;706-TNH-1;0;0;01/07/2023;01/07/2023
1;706-CCP;0;0;01/07/2023;01/07/2023
1;706-SKB;0;0;01/07/2023;01/07/2023
1;706-PPK-2;0;0;01/07/2023;01/07/2023
1;706-PPK-3;0;0;01/07/2023;01/07/2023
1;706-TOB;0;0;01/07/2023;01/07/2023
1;706-PPK-4;0;0;01/07/2023;01/07/2023
1;706-TNH-2;0;0;01/07/2023;01/07/2023
1;706-KAF;0;0;01/07/2023;01/07/2023
1;706-FSW;0;0;01/07/2023;01/07/2023
1;706-LFX;0;0;01/07/2023;01/07/2023
1;706-MDM;0;0;01/07/2023;01/07/2023
1;706-AGR;0;0;01/07/2023;01/07/2023
1;706-DPX;0;0;01/07/2023;01/07/2023
1;706-PLS-1;0;0;01/07/2023;01/07/2023
1;706-BTN-1;0;0;01/07/2023;01/07/2023
1;706-BTN-2;0;0;01/07/2023;01/07/2023
1;706-BTN-3;0;0;01/07/2023;01/07/2023
1;706-KRS-1;0;0;01/07/2023;01/07/2023
1;706-AGR-2;1;0;01/07/2023;01/07/2023
1;706-AGR-3;500;0;01/07/2023;01/07/2023
1;706-ARG-1;0;0;01/07/2023;01/07/2023
1;706-ALK-2;0;0;01/07/2023;01/07/2023
1;706-HNO;1000;0;01/07/2023;01/07/2023
1;706-BFR-1;100;0;01/07/2023;01/07/2023
1;706-BFR-2;250;0;01/07/2023;01/07/2023
1;706-DXT;500;0;01/07/2023;01/07/2023
1;706-SPR;0;0;01/07/2023;01/07/2023
1;706-PPK-5;0;0;01/07/2023;01/07/2023
1;706-CLX;0;0;01/07/2023;01/07/2023
1;706-MNA;1;0;01/07/2023;01/07/2023
1;706-KAM;2000;0;01/07/2023;01/07/2023
1;706-FEE;100;0;01/07/2023;01/07/2023
1;706-MKP;2000;0;01/07/2023;01/07/2023
1;706-AMS;2000;0;01/07/2023;01/07/2023
1;706-MGS;0;0;01/07/2023;01/07/2023
1;706-CUS;200;0;01/07/2023;01/07/2023
1;706-ZNS;200;0;01/07/2023;01/07/2023
1;706-ASB;200;0;01/07/2023;01/07/2023
1;706-AHM;10;0;01/07/2023;01/07/2023
1;706-PRP;0;0;01/07/2023;01/07/2023
1;706-SLG;0;0;01/07/2023;01/07/2023
1;706-LNL;0;0;01/07/2023;01/07/2023
1;706-VSL;1;0;01/07/2023;01/07/2023
1;706-IAA;0;0;01/07/2023;01/07/2023
1;706-GA3;0;0;01/07/2023;01/07/2023
1;706-AAS;0;0;01/07/2023;01/07/2023
1;706-NAA;0;0;01/07/2023;01/07/2023
1;706-PPM;0;0;01/07/2023;01/07/2023
1;706-NMH;500;0;01/07/2023;01/07/2023
1;706-ARG-2;2000;0;01/07/2023;01/07/2023
1;706-BAG;1000;0;01/07/2023;01/07/2023
1;706-FAT;750;0;01/07/2023;01/07/2023
1;706-SUC;1000;0;01/07/2023;01/07/2023
1;706-IBA;5;0;01/07/2023;01/07/2023
1;706-KCL;1000;0;01/07/2023;01/07/2023
1;706-AAG;2;0;01/07/2023;01/07/2023
